Valuta,Codice ISO,Codice UIC,Quotazione,Convenzione di cambio,Data di riferimento (CET)
Euro,EUR,242,0.8991,Quantita' di valuta estera per 1 Dollaro,2020-03-02
Euro,EUR,242,0.8995,Quantita' di valuta estera per 1 Dollaro,2020-03-03
Euro,EUR,242,0.8989,Quantita' di valuta estera per 1 Dollaro,2020-03-04
Euro,EUR,242,0.8939,Quantita' di valuta estera per 1 Dollaro,2020-03-05
Euro,EUR,242,0.8821,Quantita' di valuta estera per 1 Dollaro,2020-03-06
Euro,EUR,242,0.8729,Quantita' di valuta estera per 1 Dollaro,2020-03-09
Euro,EUR,242,0.8780,Quantita' di valuta estera per 1 Dollaro,2020-03-10
Euro,EUR,242,0.8821,Quantita' di valuta estera per 1 Dollaro,2020-03-11
Euro,EUR,242,0.8897,Quantita' di valuta estera per 1 Dollaro,2020-03-12
Euro,EUR,242,0.9006,Quantita' di valuta estera per 1 Dollaro,2020-03-13
Euro,EUR,242,0.8963,Quantita' di valuta estera per 1 Dollaro,2020-03-16
Euro,EUR,242,0.9106,Quantita' di valuta estera per 1 Dollaro,2020-03-17
Euro,EUR,242,0.9146,Quantita' di valuta estera per 1 Dollaro,2020-03-18
Euro,EUR,242,0.9258,Quantita' di valuta estera per 1 Dollaro,2020-03-19
Euro,EUR,242,0.9340,Quantita' di valuta estera per 1 Dollaro,2020-03-20
Euro,EUR,242,0.9274,Quantita' di valuta estera per 1 Dollaro,2020-03-23
Euro,EUR,242,0.9223,Quantita' di valuta estera per 1 Dollaro,2020-03-24
Euro,EUR,242,0.9236,Quantita' di valuta estera per 1 Dollaro,2020-03-25
Euro,EUR,242,0.9107,Quantita' di valuta estera per 1 Dollaro,2020-03-26
Euro,EUR,242,0.9110,Quantita' di valuta estera per 1 Dollaro,2020-03-27
Euro,EUR,242,0.9063,Quantita' di valuta estera per 1 Dollaro,2020-03-30
Euro,EUR,242,0.9127,Quantita' di valuta estera per 1 Dollaro,2020-03-31
Euro,EUR,242,0.9144,Quantita' di valuta estera per 1 Dollaro,2020-04-01
Euro,EUR,242,0.9169,Quantita' di valuta estera per 1 Dollaro,2020-04-02
Euro,EUR,242,0.9272,Quantita' di valuta estera per 1 Dollaro,2020-04-03
Euro,EUR,242,0.9267,Quantita' di valuta estera per 1 Dollaro,2020-04-06
Euro,EUR,242,0.9187,Quantita' di valuta estera per 1 Dollaro,2020-04-07
Euro,EUR,242,0.9199,Quantita' di valuta estera per 1 Dollaro,2020-04-08
Euro,EUR,242,0.9202,Quantita' di valuta estera per 1 Dollaro,2020-04-09
Euro,EUR,242,0.9122,Quantita' di valuta estera per 1 Dollaro,2020-04-14
Euro,EUR,242,0.9172,Quantita' di valuta estera per 1 Dollaro,2020-04-15
Euro,EUR,242,0.9184,Quantita' di valuta estera per 1 Dollaro,2020-04-16
Euro,EUR,242,0.9208,Quantita' di valuta estera per 1 Dollaro,2020-04-17
Euro,EUR,242,0.9208,Quantita' di valuta estera per 1 Dollaro,2020-04-20
Euro,EUR,242,0.9228,Quantita' di valuta estera per 1 Dollaro,2020-04-21
Euro,EUR,242,0.9202,Quantita' di valuta estera per 1 Dollaro,2020-04-22
Euro,EUR,242,0.9283,Quantita' di valuta estera per 1 Dollaro,2020-04-23
Euro,EUR,242,0.9259,Quantita' di valuta estera per 1 Dollaro,2020-04-24
Euro,EUR,242,0.9215,Quantita' di valuta estera per 1 Dollaro,2020-04-27
Euro,EUR,242,0.9194,Quantita' di valuta estera per 1 Dollaro,2020-04-28
Euro,EUR,242,0.9223,Quantita' di valuta estera per 1 Dollaro,2020-04-29
Euro,EUR,242,0.9195,Quantita' di valuta estera per 1 Dollaro,2020-04-30
Euro,EUR,242,0.9139,Quantita' di valuta estera per 1 Dollaro,2020-05-04
Euro,EUR,242,0.9223,Quantita' di valuta estera per 1 Dollaro,2020-05-05
Euro,EUR,242,0.9253,Quantita' di valuta estera per 1 Dollaro,2020-05-06
Euro,EUR,242,0.9274,Quantita' di valuta estera per 1 Dollaro,2020-05-07
Euro,EUR,242,0.9223,Quantita' di valuta estera per 1 Dollaro,2020-05-08
Euro,EUR,242,0.9239,Quantita' di valuta estera per 1 Dollaro,2020-05-11
Euro,EUR,242,0.9210,Quantita' di valuta estera per 1 Dollaro,2020-05-12
Euro,EUR,242,0.9195,Quantita' di valuta estera per 1 Dollaro,2020-05-13
Euro,EUR,242,0.9266,Quantita' di valuta estera per 1 Dollaro,2020-05-14
Euro,EUR,242,0.9261,Quantita' di valuta estera per 1 Dollaro,2020-05-15
Euro,EUR,242,0.9232,Quantita' di valuta estera per 1 Dollaro,2020-05-18
Euro,EUR,242,0.9132,Quantita' di valuta estera per 1 Dollaro,2020-05-19
Euro,EUR,242,0.9126,Quantita' di valuta estera per 1 Dollaro,2020-05-20
Euro,EUR,242,0.9091,Quantita' di valuta estera per 1 Dollaro,2020-05-21
Euro,EUR,242,0.9171,Quantita' di valuta estera per 1 Dollaro,2020-05-22
Euro,EUR,242,0.9166,Quantita' di valuta estera per 1 Dollaro,2020-05-25
Euro,EUR,242,0.9112,Quantita' di valuta estera per 1 Dollaro,2020-05-26
Euro,EUR,242,0.9098,Quantita' di valuta estera per 1 Dollaro,2020-05-27
Euro,EUR,242,0.9078,Quantita' di valuta estera per 1 Dollaro,2020-05-28
Euro,EUR,242,0.8980,Quantita' di valuta estera per 1 Dollaro,2020-05-29
Euro,EUR,242,0.8996,Quantita' di valuta estera per 1 Dollaro,2020-06-01
Euro,EUR,242,0.8949,Quantita' di valuta estera per 1 Dollaro,2020-06-02
Euro,EUR,242,0.8933,Quantita' di valuta estera per 1 Dollaro,2020-06-03
Euro,EUR,242,0.8889,Quantita' di valuta estera per 1 Dollaro,2020-06-04
Euro,EUR,242,0.8826,Quantita' di valuta estera per 1 Dollaro,2020-06-05
Euro,EUR,242,0.8861,Quantita' di valuta estera per 1 Dollaro,2020-06-08
Euro,EUR,242,0.8854,Quantita' di valuta estera per 1 Dollaro,2020-06-09
Euro,EUR,242,0.8791,Quantita' di valuta estera per 1 Dollaro,2020-06-10
Euro,EUR,242,0.8812,Quantita' di valuta estera per 1 Dollaro,2020-06-11
Euro,EUR,242,0.8846,Quantita' di valuta estera per 1 Dollaro,2020-06-12
Euro,EUR,242,0.8887,Quantita' di valuta estera per 1 Dollaro,2020-06-15
Euro,EUR,242,0.8843,Quantita' di valuta estera per 1 Dollaro,2020-06-16
Euro,EUR,242,0.8903,Quantita' di valuta estera per 1 Dollaro,2020-06-17
Euro,EUR,242,0.8911,Quantita' di valuta estera per 1 Dollaro,2020-06-18
Euro,EUR,242,0.8921,Quantita' di valuta estera per 1 Dollaro,2020-06-19
Euro,EUR,242,0.8918,Quantita' di valuta estera per 1 Dollaro,2020-06-22
Euro,EUR,242,0.8835,Quantita' di valuta estera per 1 Dollaro,2020-06-23
Euro,EUR,242,0.8865,Quantita' di valuta estera per 1 Dollaro,2020-06-24
Euro,EUR,242,0.8929,Quantita' di valuta estera per 1 Dollaro,2020-06-25
Euro,EUR,242,0.8918,Quantita' di valuta estera per 1 Dollaro,2020-06-26
Euro,EUR,242,0.8862,Quantita' di valuta estera per 1 Dollaro,2020-06-29
Euro,EUR,242,0.8930,Quantita' di valuta estera per 1 Dollaro,2020-06-30
Euro,EUR,242,0.8929,Quantita' di valuta estera per 1 Dollaro,2020-07-01
Euro,EUR,242,0.8861,Quantita' di valuta estera per 1 Dollaro,2020-07-02
Euro,EUR,242,0.8909,Quantita' di valuta estera per 1 Dollaro,2020-07-03
Euro,EUR,242,0.8830,Quantita' di valuta estera per 1 Dollaro,2020-07-06
Euro,EUR,242,0.8857,Quantita' di valuta estera per 1 Dollaro,2020-07-07
Euro,EUR,242,0.8861,Quantita' di valuta estera per 1 Dollaro,2020-07-08
Euro,EUR,242,0.8817,Quantita' di valuta estera per 1 Dollaro,2020-07-09
Euro,EUR,242,0.8868,Quantita' di valuta estera per 1 Dollaro,2020-07-10
Euro,EUR,242,0.8827,Quantita' di valuta estera per 1 Dollaro,2020-07-13
Euro,EUR,242,0.8791,Quantita' di valuta estera per 1 Dollaro,2020-07-14
Euro,EUR,242,0.8738,Quantita' di valuta estera per 1 Dollaro,2020-07-15
Euro,EUR,242,0.8761,Quantita' di valuta estera per 1 Dollaro,2020-07-16
Euro,EUR,242,0.8750,Quantita' di valuta estera per 1 Dollaro,2020-07-17
Euro,EUR,242,0.8735,Quantita' di valuta estera per 1 Dollaro,2020-07-20
Euro,EUR,242,0.8739,Quantita' di valuta estera per 1 Dollaro,2020-07-21
Euro,EUR,242,0.8637,Quantita' di valuta estera per 1 Dollaro,2020-07-22
Euro,EUR,242,0.8644,Quantita' di valuta estera per 1 Dollaro,2020-07-23
Euro,EUR,242,0.8615,Quantita' di valuta estera per 1 Dollaro,2020-07-24
Euro,EUR,242,0.8503,Quantita' di valuta estera per 1 Dollaro,2020-07-27
Euro,EUR,242,0.8535,Quantita' di valuta estera per 1 Dollaro,2020-07-28
Euro,EUR,242,0.8529,Quantita' di valuta estera per 1 Dollaro,2020-07-29
Euro,EUR,242,0.8516,Quantita' di valuta estera per 1 Dollaro,2020-07-30
Euro,EUR,242,0.8440,Quantita' di valuta estera per 1 Dollaro,2020-07-31
Euro,EUR,242,0.8528,Quantita' di valuta estera per 1 Dollaro,2020-08-03
Euro,EUR,242,0.8500,Quantita' di valuta estera per 1 Dollaro,2020-08-04
Euro,EUR,242,0.8436,Quantita' di valuta estera per 1 Dollaro,2020-08-05
Euro,EUR,242,0.8444,Quantita' di valuta estera per 1 Dollaro,2020-08-06
Euro,EUR,242,0.8462,Quantita' di valuta estera per 1 Dollaro,2020-08-07
Euro,EUR,242,0.8501,Quantita' di valuta estera per 1 Dollaro,2020-08-10
Euro,EUR,242,0.8487,Quantita' di valuta estera per 1 Dollaro,2020-08-11
Euro,EUR,242,0.8495,Quantita' di valuta estera per 1 Dollaro,2020-08-12
Euro,EUR,242,0.8451,Quantita' di valuta estera per 1 Dollaro,2020-08-13
Euro,EUR,242,0.8465,Quantita' di valuta estera per 1 Dollaro,2020-08-14
Euro,EUR,242,0.8437,Quantita' di valuta estera per 1 Dollaro,2020-08-17
Euro,EUR,242,0.8399,Quantita' di valuta estera per 1 Dollaro,2020-08-18
Euro,EUR,242,0.8380,Quantita' di valuta estera per 1 Dollaro,2020-08-19
Euro,EUR,242,0.8439,Quantita' di valuta estera per 1 Dollaro,2020-08-20
Euro,EUR,242,0.8497,Quantita' di valuta estera per 1 Dollaro,2020-08-21
Euro,EUR,242,0.8441,Quantita' di valuta estera per 1 Dollaro,2020-08-24
Euro,EUR,242,0.8465,Quantita' di valuta estera per 1 Dollaro,2020-08-25
Euro,EUR,242,0.8482,Quantita' di valuta estera per 1 Dollaro,2020-08-26
Euro,EUR,242,0.8470,Quantita' di valuta estera per 1 Dollaro,2020-08-27
Euro,EUR,242,0.8393,Quantita' di valuta estera per 1 Dollaro,2020-08-28
Euro,EUR,242,0.8375,Quantita' di valuta estera per 1 Dollaro,2020-08-31
Euro,EUR,242,0.8342,Quantita' di valuta estera per 1 Dollaro,2020-09-01
Euro,EUR,242,0.8431,Quantita' di valuta estera per 1 Dollaro,2020-09-02
Euro,EUR,242,0.8465,Quantita' di valuta estera per 1 Dollaro,2020-09-03
Euro,EUR,242,0.8445,Quantita' di valuta estera per 1 Dollaro,2020-09-04
Euro,EUR,242,0.8457,Quantita' di valuta estera per 1 Dollaro,2020-09-07
Euro,EUR,242,0.8485,Quantita' di valuta estera per 1 Dollaro,2020-09-08
Euro,EUR,242,0.8494,Quantita' di valuta estera per 1 Dollaro,2020-09-09
Euro,EUR,242,0.8440,Quantita' di valuta estera per 1 Dollaro,2020-09-10
Euro,EUR,242,0.8436,Quantita' di valuta estera per 1 Dollaro,2020-09-11
Euro,EUR,242,0.8420,Quantita' di valuta estera per 1 Dollaro,2020-09-14
Euro,EUR,242,0.8409,Quantita' di valuta estera per 1 Dollaro,2020-09-15
Euro,EUR,242,0.8425,Quantita' di valuta estera per 1 Dollaro,2020-09-16
Euro,EUR,242,0.8477,Quantita' di valuta estera per 1 Dollaro,2020-09-17
Euro,EUR,242,0.8451,Quantita' di valuta estera per 1 Dollaro,2020-09-18
Euro,EUR,242,0.8484,Quantita' di valuta estera per 1 Dollaro,2020-09-21
Euro,EUR,242,0.8518,Quantita' di valuta estera per 1 Dollaro,2020-09-22
Euro,EUR,242,0.8553,Quantita' di valuta estera per 1 Dollaro,2020-09-23
Euro,EUR,242,0.8587,Quantita' di valuta estera per 1 Dollaro,2020-09-24
Euro,EUR,242,0.8595,Quantita' di valuta estera per 1 Dollaro,2020-09-25
Euro,EUR,242,0.8569,Quantita' di valuta estera per 1 Dollaro,2020-09-28
Euro,EUR,242,0.8546,Quantita' di valuta estera per 1 Dollaro,2020-09-29
Euro,EUR,242,0.8541,Quantita' di valuta estera per 1 Dollaro,2020-09-30
Euro,EUR,242,0.8509,Quantita' di valuta estera per 1 Dollaro,2020-10-01
Euro,EUR,242,0.8525,Quantita' di valuta estera per 1 Dollaro,2020-10-02
Euro,EUR,242,0.8498,Quantita' di valuta estera per 1 Dollaro,2020-10-05
Euro,EUR,242,0.8478,Quantita' di valuta estera per 1 Dollaro,2020-10-06
Euro,EUR,242,0.8496,Quantita' di valuta estera per 1 Dollaro,2020-10-07
Euro,EUR,242,0.8500,Quantita' di valuta estera per 1 Dollaro,2020-10-08
Euro,EUR,242,0.8478,Quantita' di valuta estera per 1 Dollaro,2020-10-09
Euro,EUR,242,0.8475,Quantita' di valuta estera per 1 Dollaro,2020-10-12
Euro,EUR,242,0.8484,Quantita' di valuta estera per 1 Dollaro,2020-10-13
Euro,EUR,242,0.8511,Quantita' di valuta estera per 1 Dollaro,2020-10-14
Euro,EUR,242,0.8548,Quantita' di valuta estera per 1 Dollaro,2020-10-15
Euro,EUR,242,0.8517,Quantita' di valuta estera per 1 Dollaro,2020-10-16
Euro,EUR,242,0.8485,Quantita' di valuta estera per 1 Dollaro,2020-10-19
Euro,EUR,242,0.8467,Quantita' di valuta estera per 1 Dollaro,2020-10-20
Euro,EUR,242,0.8437,Quantita' di valuta estera per 1 Dollaro,2020-10-21
Euro,EUR,242,0.8460,Quantita' di valuta estera per 1 Dollaro,2020-10-22
Euro,EUR,242,0.8435,Quantita' di valuta estera per 1 Dollaro,2020-10-23
Euro,EUR,242,0.8461,Quantita' di valuta estera per 1 Dollaro,2020-10-26
Euro,EUR,242,0.8452,Quantita' di valuta estera per 1 Dollaro,2020-10-27
Euro,EUR,242,0.8527,Quantita' di valuta estera per 1 Dollaro,2020-10-28
Euro,EUR,242,0.8544,Quantita' di valuta estera per 1 Dollaro,2020-10-29
Euro,EUR,242,0.8548,Quantita' di valuta estera per 1 Dollaro,2020-10-30
Euro,EUR,242,0.8582,Quantita' di valuta estera per 1 Dollaro,2020-11-02
Euro,EUR,242,0.8546,Quantita' di valuta estera per 1 Dollaro,2020-11-03
Euro,EUR,242,0.8532,Quantita' di valuta estera per 1 Dollaro,2020-11-04
Euro,EUR,242,0.8435,Quantita' di valuta estera per 1 Dollaro,2020-11-05
Euro,EUR,242,0.8425,Quantita' di valuta estera per 1 Dollaro,2020-11-06
Euro,EUR,242,0.8415,Quantita' di valuta estera per 1 Dollaro,2020-11-09
Euro,EUR,242,0.8469,Quantita' di valuta estera per 1 Dollaro,2020-11-10
Euro,EUR,242,0.8499,Quantita' di valuta estera per 1 Dollaro,2020-11-11
Euro,EUR,242,0.8481,Quantita' di valuta estera per 1 Dollaro,2020-11-12
Euro,EUR,242,0.8464,Quantita' di valuta estera per 1 Dollaro,2020-11-13
Euro,EUR,242,0.8453,Quantita' di valuta estera per 1 Dollaro,2020-11-16
Euro,EUR,242,0.8416,Quantita' di valuta estera per 1 Dollaro,2020-11-17
Euro,EUR,242,0.8426,Quantita' di valuta estera per 1 Dollaro,2020-11-18
Euro,EUR,242,0.8452,Quantita' di valuta estera per 1 Dollaro,2020-11-19
Euro,EUR,242,0.8430,Quantita' di valuta estera per 1 Dollaro,2020-11-20
Euro,EUR,242,0.8403,Quantita' di valuta estera per 1 Dollaro,2020-11-23
Euro,EUR,242,0.8428,Quantita' di valuta estera per 1 Dollaro,2020-11-24
Euro,EUR,242,0.8410,Quantita' di valuta estera per 1 Dollaro,2020-11-25
Euro,EUR,242,0.8403,Quantita' di valuta estera per 1 Dollaro,2020-11-26
Euro,EUR,242,0.8388,Quantita' di valuta estera per 1 Dollaro,2020-11-27
Euro,EUR,242,0.8347,Quantita' di valuta estera per 1 Dollaro,2020-11-30
Euro,EUR,242,0.8356,Quantita' di valuta estera per 1 Dollaro,2020-12-01
Euro,EUR,242,0.8288,Quantita' di valuta estera per 1 Dollaro,2020-12-02
Euro,EUR,242,0.8230,Quantita' di valuta estera per 1 Dollaro,2020-12-03
Euro,EUR,242,0.8224,Quantita' di valuta estera per 1 Dollaro,2020-12-04
Euro,EUR,242,0.8245,Quantita' di valuta estera per 1 Dollaro,2020-12-07
Euro,EUR,242,0.8255,Quantita' di valuta estera per 1 Dollaro,2020-12-08
Euro,EUR,242,0.8258,Quantita' di valuta estera per 1 Dollaro,2020-12-09
Euro,EUR,242,0.8254,Quantita' di valuta estera per 1 Dollaro,2020-12-10
Euro,EUR,242,0.8246,Quantita' di valuta estera per 1 Dollaro,2020-12-11
Euro,EUR,242,0.8222,Quantita' di valuta estera per 1 Dollaro,2020-12-14
Euro,EUR,242,0.8237,Quantita' di valuta estera per 1 Dollaro,2020-12-15
Euro,EUR,242,0.8204,Quantita' di valuta estera per 1 Dollaro,2020-12-16
Euro,EUR,242,0.8166,Quantita' di valuta estera per 1 Dollaro,2020-12-17
Euro,EUR,242,0.8157,Quantita' di valuta estera per 1 Dollaro,2020-12-18
Euro,EUR,242,0.8215,Quantita' di valuta estera per 1 Dollaro,2020-12-21
Euro,EUR,242,0.8171,Quantita' di valuta estera per 1 Dollaro,2020-12-22
Euro,EUR,242,0.8220,Quantita' di valuta estera per 1 Dollaro,2020-12-23
Euro,EUR,242,0.8201,Quantita' di valuta estera per 1 Dollaro,2020-12-24
Euro,EUR,242,0.8184,Quantita' di valuta estera per 1 Dollaro,2020-12-28
Euro,EUR,242,0.8157,Quantita' di valuta estera per 1 Dollaro,2020-12-29
Euro,EUR,242,0.8143,Quantita' di valuta estera per 1 Dollaro,2020-12-30
Euro,EUR,242,0.8149,Quantita' di valuta estera per 1 Dollaro,2020-12-31
